"","grid_range","z"
"747","grid747",16.517
"748","grid748",15.614
"749","grid749",15.764
"750","grid750",15.842
"751","grid751",16.175
"752","grid752",15.88
"753","grid753",16.555
"754","grid754",16.512
"755","grid755",17.111
"756","grid756",17.036
"757","grid757",17.086
"758","grid758",17.085
"759","grid759",17.064
"760","grid760",16.973
"761","grid761",17.185
"762","grid762",17.108
"763","grid763",16.35
"764","grid764",16.557
"765","grid765",16.683
"766","grid766",16.496
"767","grid767",16.434
"768","grid768",16.797
"769","grid769",16.762
"770","grid770",16.732
"771","grid771",16.619
"772","grid772",16.393
"773","grid773",16.195
"774","grid774",16.24
"775","grid775",16.076
"776","grid776",15.983
"777","grid777",16.101
"778","grid778",16.589
"779","grid779",16.604
"780","grid780",16.55
"781","grid781",16.465
"782","grid782",16.274
"783","grid783",16.062
"784","grid784",16.07
"785","grid785",16.053
"786","grid786",16.213
"787","grid787",16.409
"788","grid788",16.542
"789","grid789",15.691
"790","grid790",16.923
"791","grid791",17.029
"792","grid792",16.991
"793","grid793",16.991
"794","grid794",13.881
"795","grid795",16.06
"796","grid796",16.112
"797","grid797",17.185
"798","grid798",17.136
"799","grid799",16.968
"800","grid800",17.004
"801","grid801",17.015
"802","grid802",16.576
"803","grid803",17.018
"804","grid804",16.811
"805","grid805",17.022
"806","grid806",17.098
"807","grid807",16.937
"808","grid808",16.541
"809","grid809",16.544
"810","grid810",16.78
"811","grid811",16.768
"812","grid812",16.574
"813","grid813",16.214
"814","grid814",16.584
"815","grid815",16.66
"816","grid816",16.218
"817","grid817",16.243
"818","grid818",16.234
"819","grid819",16.468
"820","grid820",16.427
"821","grid821",16.79
"822","grid822",16.861
"823","grid823",16.208
"824","grid824",16.226
"825","grid825",16.251
"826","grid826",16.273
"827","grid827",16.401
"828","grid828",16.508
"829","grid829",16.703
"830","grid830",16.713
"831","grid831",16.886
"832","grid832",16.824
"833","grid833",16.993
"834","grid834",16.978
"835","grid835",16.982
"836","grid836",13.984
"837","grid837",16.161
"838","grid838",15.852
"839","grid839",16.327
"840","grid840",17.176
"841","grid841",16.568
"842","grid842",16.93
"843","grid843",16.886
"844","grid844",16.902
"845","grid845",16.567
"846","grid846",16.646
"847","grid847",17.039
"848","grid848",17.002
"849","grid849",16.841
"850","grid850",16.841
"851","grid851",16.822
"852","grid852",16.474
"853","grid853",16.845
"854","grid854",16.39
"855","grid855",16.304
"856","grid856",16.718
"857","grid857",16.265
"858","grid858",16.317
"859","grid859",16.269
"860","grid860",16.235
"861","grid861",16.272
"862","grid862",16.314
"863","grid863",16.476
"864","grid864",16.636
"865","grid865",16.763
"866","grid866",16.729
"867","grid867",16.553
"868","grid868",16.006
"869","grid869",15.9
"870","grid870",16.503
"871","grid871",17.007
"872","grid872",16.89
"873","grid873",16.757
"874","grid874",16.758
"875","grid875",16.665
"876","grid876",16.952
"877","grid877",16.905
"878","grid878",16.613
"879","grid879",16.098
"880","grid880",16.255
"881","grid881",16.278
"882","grid882",16.252
"883","grid883",16.477
"884","grid884",16.829
"885","grid885",16.817
"886","grid886",16.78
"887","grid887",16.531
"888","grid888",16.62
